The Collections reverse() method can reverse the elements in a Java List.,"[""('method', 'dependency', 'class'): (reverse, can reverse, list)""]"
Each of the methods ceilingEntry() floorEntry() higherEntry() and lowerEntry() will be covered in the following sections,"[""('method', 'dependency', 'method'): (ceilingentry, will be covered in the same sections as, floorentry)"", ""('method', 'dependency', 'method'): (ceilingentry, will be covered in the same sections as, higherentry)"", ""('method', 'dependency', 'method'): (ceilingentry, will be covered in the same sections as, lowerentry)"", ""('method', 'dependency', 'method'): (floorentry, will be covered in the same sections as, higherentry)"", ""('method', 'dependency', 'method'): (floorentry, will be covered in the same sections as, lowerentry)"", ""('method', 'dependency', 'method'): (higherentry, will be covered in the same sections as, lowerentry)"", ""('method', 'similarity', 'method'): (ceilingentry, are similar methods to, floorentry)"", ""('method', 'similarity', 'method'): (ceilingentry, are similar methods to, higherentry)"", ""('method', 'similarity', 'method'): (ceilingentry, are similar methods to, lowerentry)"", ""('method', 'similarity', 'method'): (floorentry, are similar methods to, higherentry)"", ""('method', 'similarity', 'method'): (floorentry, are similar methods to, lowerentry)"", ""('method', 'similarity', 'method'): (higherentry, are similar methods to, lowerentry)"", ""('method', 'difference', 'method'): (ceilingentry, is different from, floorentry)"", ""('method', 'difference', 'method'): (ceilingentry, is different from, higherentry)"", ""('method', 'difference', 'method'): (ceilingentry, is different from, lowerentry)"", ""('method', 'difference', 'method'): (floorentry, is different from, higherentry)"", ""('method', 'difference', 'method'): (floorentry, is different from, lowerentry)"", ""('method', 'difference', 'method'): (higherentry, is different from, lowerentry)""]"
To do so set the upper bound to 1 and have the call to take() and release() guard the critical section,"[""('method', 'dependency', 'method'): (release, guard the critical section with, take)""]"
Once you have opened a socket (network connection) though you read and write data to and from it via Java IO InputStream and OutputStream classes,"[""('class', 'dependency', 'class'): (inputstream, read and write data to and from, outputstream)"", ""('class', 'dependency', 'class'): (outputstream, read and write data to and from, inputstream)""]"
Many of the core components in the Java Collection API rely on the correct implementation of the `hashCode()` and `equals()` methods.,"[""('class', 'dependency', 'method'): (java collection, relies on, hashcode)"", ""('class', 'dependency', 'method'): (java collection, relies on, equals)"", ""('method', 'dependency', 'method'): (hashcode, relies on, equals)""]"
java.io.PrintWriter example first creates a PrintWriter instance which is connected to a FileWriter,"[""('class', 'dependency', 'class'): (java.io.printwriter, is connected to, filewriter)""]"
InputStream.read() example creates an AsynchronousFileChannel and then creates a ByteBuffer which is passed to the read() method as parameter along with a position of 0,"[""('class', 'creation', 'class'): (inputstream, creates, asynchronousfilechannel)"", ""('class', 'creation', 'class'): (inputstream, creates, bytebuffer)"", ""('class', 'dependency', 'method'): (inputstream, passes to, read)"", ""('class', 'dependency', 'class'): (asynchronousfilechannel, interacts with, bytebuffer)"", ""('class', 'dependency', 'method'): (asynchronousfilechannel, used by, read)"", ""('class', 'dependency', 'method'): (bytebuffer, passed to, read)""]"
java.lang.StringBuffer text explains how to use the SimpleDateFormat class to format dates,"[""('class', 'dependency', 'class'): (java.lang.stringbuffer, uses, simpledateformat)"", ""('class', 'dependency', 'class'): (simpledateformat, used by, java.lang.stringbuffer)""]"
In general you can call the markSupported() method to find out if mark() and reset() are supported on a given InputStream or not but the BufferedInputStream supports them,"[""('class', 'implementation', 'class'): (bufferedinputstream, is a type of, inputstream)""]"
"The newLine() method which can write a new-line character to the underlying Writer. In addition, you may need to call flush() if you need to be absolutely sure that the characters written until now is flushed out of the buffer and onto the network or disk.","[""('method', 'dependency', 'class'): (newline, relies on, writer)"", ""('method', 'dependency', 'class'): (flush, relies on, writer)"", ""('method', 'implementation', 'class'): (newline, writes to, writer)"", ""('method', 'implementation', 'class'): (flush, ensures writing to, writer)"", ""('method', 'dependency', 'method'): (newline, may need, flush)""]"
Queue.poll() is different than remove() which throws an exception if the Deque is empty,"[""('method', 'difference', 'method'): (queue.poll, is different than, queue.remove)""]"
Notice the two synchronized blocks inside the set() and get() method. Notice how the blocks are placed last and first in the two methods.,"[""('method', 'dependency', 'method'): (set, synchronized blocks are placed last, get)"", ""('method', 'implementation', 'method'): (set, interacts through messaging, get)"", ""('method', 'implementation', 'method'): (get, interacts through messaging, set)""]"
"The replace() method will only insert the new value if there is already an existing value mapped to the key. If no existing value is mapped to the given key, no value is inserted. This is different from how put() works, which always insert the value no matter what.","[""('method', 'difference', 'method'): (replace, works differently than, put)"", ""('method', 'preference', 'method'): (put, is preferred in terms of inserting values over, replace)""]"
The logrb() methods work like the log() methods too except they can obtain the log messages from a resource bundle,"[""('method', 'similarity', 'method'): (logrb, work like, log)"", ""('method', 'dependency', 'method'): (logrb, obtain log messages from, log)""]"
The Handler in the Java Logging API use a java.util.logging.Formatter to format the LogRecord before writing it to an external system,"[""('class', 'dependency', 'class'): (java.util.logging.handler, uses, java.util.logging.formatter)"", ""('class', 'dependency', 'class'): (java.util.logging.formatter, formats, logrecord)"", ""('class', 'dependency', 'class'): (java.util.logging.handler, writes, logrecord)""]"
